"","nhood_month_year","buyout_amount","Count","avg_buyout"
"1","1 2016 Castro/Upper Market",106750,2,53375
"2","1 2016 Excelsior",40000,1,40000
"3","1 2016 Haight Ashbury",111703.46,3,37234.4866666667
"4","1 2016 Inner Sunset",20000,1,20000
"5","1 2016 Marina",99500,3,33166.6666666667
"6","1 2016 Mission",1e+05,1,1e+05
"7","1 2016 Nob Hill",5000,1,5000
"8","1 2016 Noe Valley",48500,1,48500
"9","1 2016 Oceanview/Merced/Ingleside",12500,1,12500
"10","1 2016 Outer Mission",5553,1,5553
"11","1 2016 South of Market",22500,1,22500
"12","1 2016 Sunset/Parkside",13820,3,4606.66666666667
"13","1 2016 Twin Peaks",23283.42,1,23283.42
"14","1 2016 Visitacion Valley",44000,2,22000
"15","1 2016 West of Twin Peaks",83200,3,27733.3333333333
"16","1 2017 Bayview Hunters Point",85950,2,42975
"17","1 2017 Bernal Heights",40000,1,40000
"18","1 2017 Excelsior",22597,1,22597
"19","1 2017 Haight Ashbury",49552.5,1,49552.5
"20","1 2017 Hayes Valley",85000,2,42500
"21","1 2017 Inner Richmond",32500,1,32500
"22","1 2017 Marina",1e+05,1,1e+05
"23","1 2017 Mission",150175.63,3,50058.5433333333
"24","1 2017 Noe Valley",117670,2,58835
"25","1 2017 Oceanview/Merced/Ingleside",30000,1,30000
"26","1 2017 Outer Richmond",102000,2,51000
"27","1 2017 Pacific Heights",35000,2,17500
"28","1 2017 Potrero Hill",69649,1,69649
"29","1 2017 Russian Hill",95000,1,95000
"30","1 2017 Sunset/Parkside",65000,2,32500
"31","1 2017 West of Twin Peaks",12000,1,12000
"32","1 2018 Bayview Hunters Point",31458,2,15729
"33","1 2018 Castro/Upper Market",1e+05,1,1e+05
"34","1 2018 Excelsior",6500,1,6500
"35","1 2018 Financial District/South Beach",138000,1,138000
"36","1 2018 Glen Park",56500,1,56500
"37","1 2018 Haight Ashbury",95000,2,47500
"38","1 2018 Inner Richmond",12600,1,12600
"39","1 2018 Lakeshore",14200,1,14200
"40","1 2018 Lone Mountain/USF",45000,1,45000
"41","1 2018 Marina",30000,1,30000
"42","1 2018 Mission",130000,3,43333.3333333333
"43","1 2018 Nob Hill",0,1,0
"44","1 2018 Outer Mission",32000,1,32000
"45","1 2018 Outer Richmond",24186,2,12093
"46","1 2018 Presidio Heights",24500,1,24500
"47","1 2018 Sunset/Parkside",84749,2,42374.5
"48","1 2018 West of Twin Peaks",20000,1,20000
"49","1 2018 Western Addition",21687.5,1,21687.5
"50","1 2019 Hayes Valley",37635.94,2,18817.97
"51","1 2019 Inner Richmond",25578.02,1,25578.02
"52","1 2019 Inner Sunset",92500,2,46250
"53","1 2019 Lone Mountain/USF",NA,1,NA
"54","1 2019 Mission",2e+05,2,1e+05
"55","1 2019 Nob Hill",18000,1,18000
"56","1 2019 Oceanview/Merced/Ingleside",25000,1,25000
"57","1 2019 Pacific Heights",NA,5,NA
"58","1 2019 Potrero Hill",6627,1,6627
"59","1 2019 Russian Hill",35000,2,17500
"60","1 2019 Sunset/Parkside",257404,3,85801.3333333333
"61","1 2019 Twin Peaks",65000,1,65000
"62","1 2019 West of Twin Peaks",125123,3,41707.6666666667
"63","1 2020 Castro/Upper Market",286267.02,4,71566.755
"64","1 2020 Haight Ashbury",272500,2,136250
"65","1 2020 Hayes Valley",71500,2,35750
"66","1 2020 Inner Richmond",1e+05,1,1e+05
"67","1 2020 Lone Mountain/USF",113450.22,2,56725.11
"68","1 2020 Marina",102143.13,3,34047.71
"69","1 2020 Mission",245000,2,122500
"70","1 2020 Nob Hill",65124.59,3,21708.1966666667
"71","1 2020 Noe Valley",69000,2,34500
"72","1 2020 North Beach",3200,1,3200
"73","1 2020 Oceanview/Merced/Ingleside",9280,1,9280
"74","1 2020 Outer Mission",75000,2,37500
"75","1 2020 Outer Richmond",7000,1,7000
"76","1 2020 Portola",32500,1,32500
"77","1 2020 Potrero Hill",17341,1,17341
"78","1 2020 Presidio Heights",30000,1,30000
"79","1 2020 Sunset/Parkside",35000,1,35000
"80","1 2021 Castro/Upper Market",55000,1,55000
"81","1 2021 Inner Richmond",5000,1,5000
"82","1 2021 Inner Sunset",9000,1,9000
"83","1 2021 Lone Mountain/USF",62000,1,62000
"84","1 2021 Mission",229500,5,45900
"85","1 2021 Nob Hill",93590,2,46795
"86","1 2021 Noe Valley",87000,2,43500
"87","1 2021 Oceanview/Merced/Ingleside",30000,1,30000
"88","1 2021 Outer Richmond",71785,2,35892.5
"89","1 2021 Russian Hill",60000,1,60000
"90","1 2021 Sunset/Parkside",NA,2,NA
"91","1 2021 Tenderloin",8000,2,4000
"92","1 2021 Twin Peaks",45300,1,45300
"93","1 2022 Bernal Heights",67000,2,33500
"94","1 2022 Financial District/South Beach",117500,1,117500
"95","1 2022 Haight Ashbury",38000,1,38000
"96","1 2022 Hayes Valley",27494.21,2,13747.105
"97","1 2022 Inner Sunset",40000,1,40000
"98","1 2022 Lone Mountain/USF",49407.1,1,49407.1
"99","1 2022 Marina",278294,3,92764.6666666667
"100","1 2022 Mission",115000,1,115000
"101","1 2022 Oceanview/Merced/Ingleside",42000,1,42000
"102","1 2022 Outer Mission",20000,1,20000
"103","1 2022 Outer Richmond",422500,4,105625
"104","1 2022 Potrero Hill",10000,1,10000
"105","1 2022 Presidio Heights",17618.12,1,17618.12
"106","1 2022 Sunset/Parkside",176729,7,25247
"107","10 2015 Castro/Upper Market",91500,2,45750
"108","10 2015 Haight Ashbury",220973.85,4,55243.4625
"109","10 2015 Inner Richmond",24375.5,1,24375.5
"110","10 2015 Inner Sunset",68354,2,34177
"111","10 2015 Marina",20000,1,20000
"112","10 2015 Mission",34500,1,34500
"113","10 2015 Nob Hill",12500,1,12500
"114","10 2015 Outer Richmond",51151,2,25575.5
"115","10 2015 Pacific Heights",164500,2,82250
"116","10 2015 Sunset/Parkside",201500,5,40300
"117","10 2015 Western Addition",31250,1,31250
"118","10 2016 Bernal Heights",NA,3,NA
"119","10 2016 Haight Ashbury",80600,3,26866.6666666667
"120","10 2016 Hayes Valley",6000,1,6000
"121","10 2016 Inner Sunset",75000,1,75000
"122","10 2016 Lone Mountain/USF",90000,1,90000
"123","10 2016 Marina",30000,1,30000
"124","10 2016 Mission",109770.74,4,27442.685
"125","10 2016 Nob Hill",7200,1,7200
"126","10 2016 Noe Valley",75000,2,37500
"127","10 2016 North Beach",70000,1,70000
"128","10 2016 Outer Richmond",110797,2,55398.5
"129","10 2016 Pacific Heights",51311.84,3,17103.9466666667
"130","10 2016 Potrero Hill",34505,2,17252.5
"131","10 2016 Sunset/Parkside",61300,1,61300
"132","10 2016 Visitacion Valley",25937.5,1,25937.5
"133","10 2017 Bayview Hunters Point",36946,2,18473
"134","10 2017 Bernal Heights",17000,1,17000
"135","10 2017 Castro/Upper Market",111225,2,55612.5
"136","10 2017 Excelsior",35100,4,8775
"137","10 2017 Haight Ashbury",81620.29,3,27206.7633333333
"138","10 2017 Inner Richmond",17000,1,17000
